Campaign_ID,Campaign_Name,Channel,Region,Customer_Segment,Product_Type,Customers_Targeted,Customers_Responded,Campaign_Cost,Revenue_Generated,Campaign_Start_Date,Campaign_End_Date,Response_Rate, Cost_per_acquisition ,ROI
CMP1000,Personal Loan Promotion,Email,North,Students,Personal Loan,9270,1385,96820,1127390,01-05-2024,06-05-2024,15%, ? 69.91 ,1064%
CMP1001,Investment Plan Promotion,SMS,South,Retail,Investment Plan,6426,635,64131,680085,31-05-2024,05-06-2024,10%, ? 100.99 ,960%
CMP1002,Credit Card Promotion,Email,West,Retail,Credit Card,3685,141,79735,97431,20-10-2024,24-10-2024,4%, ? 565.50 ,22%
CMP1003,Investment Plan Promotion,Email,South,Young Professionals,Investment Plan,7311,1307,103104,861313,09-11-2024,17-11-2024,18%, ? 78.89 ,735%
CMP1004,Insurance Promotion,Email,South,High Net Worth,Insurance,8396,795,45658,564450,18-06-2024,23-06-2024,9%, ? 57.43 ,1136%
CMP1005,Savings Account Promotion,SMS,West,High Net Worth,Savings Account,3899,417,51551,293568,10-05-2024,17-05-2024,11%, ? 123.62 ,469%
CMP1006,Savings Account Promotion,Email,South,SME Owners,Savings Account,5890,777,100038,367521,29-03-2024,02-04-2024,13%, ? 128.75 ,267%
CMP1007,Savings Account Promotion,Social Media,South,Young Professionals,Savings Account,12233,925,88148,1014725,05-12-2024,14-12-2024,8%, ? 95.30 ,1051%
CMP1008,Credit Card Promotion,Email,North,SME Owners,Credit Card,12748,1975,100077,553000,19-02-2024,29-02-2024,15%, ? 50.67 ,453%
CMP1009,Savings Account Promotion,Social Media,East,High Net Worth,Savings Account,9555,733,97189,560745,15-04-2024,21-04-2024,8%, ? 132.59 ,477%
CMP1010,Credit Card Promotion,Email,West,High Net Worth,Credit Card,9989,346,92409,261230,10-06-2024,22-06-2024,3%, ? 267.08 ,183%
CMP1011,Savings Account Promotion,Push Notification,North,High Net Worth,Savings Account,12173,2057,52606,2087855,27-09-2024,07-10-2024,17%, ? 25.57 ,3869%
CMP1012,Credit Card Promotion,Social Media,South,Retail,Credit Card,9629,571,21016,514471,22-10-2024,29-10-2024,6%, ? 36.81 ,2348%
CMP1013,Personal Loan Promotion,SMS,East,Retail,Personal Loan,8863,1259,102798,317268,06-10-2024,18-10-2024,14%, ? 81.65 ,209%
CMP1014,Insurance Promotion,Email,West,Students,Insurance,6859,830,58044,177620,27-10-2024,30-10-2024,12%, ? 69.93 ,206%
CMP1015,Savings Account Promotion,Social Media,South,Students,Savings Account,10006,935,82592,791945,03-03-2024,16-03-2024,9%, ? 88.33 ,859%
